ANONYMIZED ID;TEST FEB;PRACTICAL EX FEB;PRACTICES FEB;FINAL FEB;TEST SEPT;PRACTICAL EX SEPT;PRACTICES SEPT;FINAL SEPT;YEAR
83P4w;NA;NA;NA;NA;NA;NA;NA;NA;2011
lcOup;6,00;5,00;0,80;5,60;NA;NA;NA;NA;2011
txQon;NA;NA;NA;NA;NA;NA;NA;NA;2018
Kd6p6;3,00;0,00;0,00;0,90;NA;NA;NA;NA;2013
BUoya;4,00;0,00;0,00;1,20;NA;NA;NA;NA;2016
1ZZN+;3,00;0,00;0,00;0,90;NA;NA;NA;NA;2013
5poO3;NA;NA;NA;NA;NA;NA;NA;NA;2018
bP+k3;NA;NA;NA;NA;NA;NA;NA;NA;2014
uEfHM;2,00;NA;0,00;0,60;NA;NA;NA;NA;2014
Z+oUU;NA;NA;NA;NA;NA;NA;NA;NA;2013
hfl39;NA;NA;NA;NA;NA;NA;NA;NA;2013
0FTwy;2,00;0,00;0,50;0,60;NA;NA;NA;NA;2012
KbkwY;NA;NA;NA;NA;NA;NA;NA;NA;2012
nlrir;NA;NA;NA;NA;NA;NA;NA;NA;2011
tL6lu;NA;NA;NA;NA;NA;NA;NA;NA;2018
6iUTw;NA;NA;NA;NA;NA;NA;NA;NA;2012
6iUTw;9,00;9,08;0,85;9,00;NA;NA;NA;NA;2014
BVgP2;4,00;0,00;0,00;1,20;NA;NA;NA;NA;2013
YmrcK;8,00;9,33;1,00;9,00;NA;NA;NA;NA;2016
1gBvO;NA;NA;NA;NA;NA;NA;NA;NA;2011
hOvDH;NA;NA;NA;NA;NA;NA;NA;NA;2014
/eA/Q;1,00;0,00;0,00;0,30;NA;NA;NA;NA;2017
2n19s;6,00;NA;0,00;1,80;9,00;6,00;0,00;6,30;2015
KSFKD;NA;NA;NA;NA;NA;NA;NA;NA;2015
jFIQi;9,00;2,00;0,00;3,90;NA;NA;NA;NA;2013
WhJyl;NA;NA;NA;NA;NA;NA;NA;NA;2011
WhJyl;NA;NA;NA;NA;NA;NA;NA;NA;2013
w5Yno;NA;NA;NA;NA;NA;NA;NA;NA;2011
dZVAd;10,00;8,58;0,85;9,00;NA;NA;NA;NA;2014
rr9gn;NA;NA;NA;NA;NA;NA;NA;NA;2011
rr9gn;8,00;10,00;1,00;9,40;NA;NA;NA;NA;2012
ww8L8;NA;NA;NA;NA;NA;NA;NA;NA;2015
OqSbp;7,00;0,00;0,00;2,10;5,00;NA;0,00;1,50;2018
S+5eU;NA;NA;NA;NA;NA;NA;NA;NA;2014
SmoZg;NA;NA;NA;NA;NA;NA;NA;NA;2015
o/HOz;NA;NA;NA;NA;NA;NA;NA;NA;2011
o/HOz;7,00;7,00;0,60;6,90;NA;NA;NA;NA;2012
YEWHW;NA;NA;NA;NA;NA;NA;NA;NA;2011
YEWHW;8,00;9,00;0,90;8,70;NA;NA;NA;NA;2012
9CkH5;8,00;6,00;0,80;7,00;NA;NA;NA;NA;2011
3TQfZ;NA;NA;NA;NA;NA;NA;NA;NA;2018
5OAQO;6,00;0,00;NA;1,80;NA;NA;NA;NA;2011
Bjftb;NA;NA;NA;NA;NA;NA;NA;NA;2013
w2aIT;3,00;0,00;0,70;0,90;6,00;4,17;0,70;5,00;2011
pL7Gj;NA;NA;NA;NA;NA;NA;NA;NA;2011
Zbiyt;NA;NA;NA;NA;NA;NA;NA;NA;2011
ZfzLV;1,00;NA;0,00;0,30;NA;NA;NA;NA;2015
/xGSA;4,00;NA;0,00;1,20;5,00;0,00;0,00;1,50;2015
/xGSA;NA;NA;NA;NA;NA;NA;NA;NA;2016
/xGSA;NA;NA;NA;NA;NA;NA;NA;NA;2017
gd1B/;NA;NA;NA;NA;NA;NA;NA;NA;2016
G31iX;5,00;0,00;0,00;1,50;5,00;NA;0,00;1,50;2018
ktf65;NA;NA;NA;NA;NA;NA;NA;NA;2017
ktf65;NA;NA;NA;NA;NA;NA;NA;NA;2018
fHRmI;9,00;4,00;0,50;5,60;NA;NA;NA;NA;2012
r2SZI;NA;NA;NA;NA;NA;NA;NA;NA;2013
r2SZI;NA;NA;NA;NA;NA;NA;NA;NA;2014
r2SZI;4,00;NA;0,00;1,20;NA;NA;NA;NA;2015
GfSkk;NA;NA;NA;NA;NA;NA;NA;NA;2014
f5cvR;0,00;NA;0,00;0,00;NA;NA;NA;NA;2014
f5cvR;NA;NA;NA;NA;NA;NA;NA;NA;2015
0GTZx;NA;NA;NA;NA;NA;NA;NA;NA;2012
wFJ/K;NA;NA;NA;NA;NA;NA;NA;NA;2012
wFJ/K;NA;NA;NA;NA;NA;NA;NA;NA;2013
SNCRK;NA;NA;NA;NA;NA;NA;NA;NA;2013
pPjm1;NA;NA;NA;NA;NA;NA;NA;NA;2011
iCfoS;NA;NA;NA;NA;NA;NA;NA;NA;2012
nAqrI;NA;NA;NA;NA;NA;NA;NA;NA;2018
nJNd5;NA;NA;NA;NA;NA;NA;NA;NA;2016
OCD87;NA;NA;NA;NA;NA;NA;NA;NA;2015
m+E24;2,00;0,00;0,70;0,60;NA;NA;NA;NA;2011
r0QMS;NA;NA;NA;NA;NA;NA;NA;NA;2014
r0QMS;NA;NA;NA;NA;NA;NA;NA;NA;2015
r0QMS;NA;NA;NA;NA;NA;NA;NA;NA;2017
HtY0Z;NA;NA;NA;NA;NA;NA;NA;NA;2018
GrjZX;1,00;0,00;0,60;0,30;NA;NA;NA;NA;2011
